"";"Ano";"Mes";"Codigo_Estacao";"Precipitacao_na_count";"Precipitacao_total_count";"Precipitacao_percentage_na";"Temperatura_minima_na_count";"Temperatura_minima_total_count";"Temperatura_minima_percentage_na";"Temperatura_maxima_na_count";"Temperatura_maxima_total_count";"Temperatura_maxima_percentage_na";"Nome";"Latitude";"Longitude";"Altitude";"Situacao";"Data Inicial";"Data Final";"Periodicidade da Medicao";"Tipo";"id"
"85";2000;7;"82890";0;31;0;0;31;0;0;31;0;"ARCO VERDE";"-8.4336111";"-37.05527777";683,91;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.4336111 -37.05527777 2000 7"
"86";2000;7;"82892";0;31;0;0;31;0;0;31;0;"PESQUEIRA";"-8.370701";"-36.707812";643,38;"Desativada";1985-01-01;2015-11-18;"Diaria";"Convencional";"-8.370701 -36.707812 2000 7"
"87";2000;7;"82893";0;31;0;0;31;0;0;31;0;"GARANHUNS";"-8.91083333";"-36.49333333";827,78;"Fechada";1985-01-01;2022-11-11;"Diaria";"Convencional";"-8.91083333 -36.49333333 2000 7"
"88";2000;7;"82897";31;31;100;31;31;100;31;31;100;"TAPACURA";"-8.17";"-35.18";102;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.17 -35.18 2000 7"
"89";2000;7;"82898";31;31;100;31;31;100;31;31;100;"OLINDA";"-8.02";"-34.85";55;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.02 -34.85 2000 7"
"90";2000;7;"82900";0;31;0;0;31;0;0;31;0;"RECIFE (CURADO)";"-8.05916666";"-34.95916666";11,3;"Fechada";1985-01-01;2020-08-31;"Diaria";"Convencional";"-8.05916666 -34.95916666 2000 7"
"91";2000;7;"82983";0;31;0;0;31;0;0;31;0;"PETROLINA";"-9.3886111";"-40.52333332";372,54;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-9.3886111 -40.52333332 2000 7"
"92";2000;8;"82753";0;31;0;0;31;0;0;31;0;"OURICURI";"-7.87944443";"-40.09194444";462,01;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.87944443 -40.09194444 2000 8"
"93";2000;8;"82781";31;31;100;31;31;100;31;31;100;"NAZARE DA MATA";"-7.73";"-35.25";87;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.73 -35.25 2000 8"
"94";2000;8;"82789";0;31;0;0;31;0;0;31;0;"TRIUNFO";"-7.82972221";"-38.12222221";1105;"Fechada";1985-01-01;2018-03-28;"Diaria";"Convencional";"-7.82972221 -38.12222221 2000 8"
"95";2000;8;"82797";0;31;0;0;31;0;0;31;0;"SURUBIM";"-7.839628";"-35.801056";421,44;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.839628 -35.801056 2000 8"
"96";2000;8;"82799";31;31;100;31;31;100;31;31;100;"GOIANA";"-7.55";"-34.98";11;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.55 -34.98 2000 8"
"97";2000;8;"82886";0;31;0;0;31;0;0;31;0;"CABROBO";"-8.50388888";"-39.31527777";342,78;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.50388888 -39.31527777 2000 8"
"98";2000;8;"82890";1;31;3,23;0;31;0;0;31;0;"ARCO VERDE";"-8.4336111";"-37.05527777";683,91;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.4336111 -37.05527777 2000 8"
"99";2000;8;"82892";0;31;0;0;31;0;0;31;0;"PESQUEIRA";"-8.370701";"-36.707812";643,38;"Desativada";1985-01-01;2015-11-18;"Diaria";"Convencional";"-8.370701 -36.707812 2000 8"
"100";2000;8;"82893";0;31;0;0;31;0;0;31;0;"GARANHUNS";"-8.91083333";"-36.49333333";827,78;"Fechada";1985-01-01;2022-11-11;"Diaria";"Convencional";"-8.91083333 -36.49333333 2000 8"
"101";2000;8;"82897";31;31;100;31;31;100;31;31;100;"TAPACURA";"-8.17";"-35.18";102;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.17 -35.18 2000 8"
"102";2000;8;"82898";31;31;100;31;31;100;31;31;100;"OLINDA";"-8.02";"-34.85";55;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.02 -34.85 2000 8"
"103";2000;8;"82900";0;31;0;0;31;0;0;31;0;"RECIFE (CURADO)";"-8.05916666";"-34.95916666";11,3;"Fechada";1985-01-01;2020-08-31;"Diaria";"Convencional";"-8.05916666 -34.95916666 2000 8"
"104";2000;8;"82983";0;31;0;0;31;0;0;31;0;"PETROLINA";"-9.3886111";"-40.52333332";372,54;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-9.3886111 -40.52333332 2000 8"
"105";2000;9;"82753";0;30;0;0;30;0;0;30;0;"OURICURI";"-7.87944443";"-40.09194444";462,01;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.87944443 -40.09194444 2000 9"
"106";2000;9;"82781";30;30;100;30;30;100;30;30;100;"NAZARE DA MATA";"-7.73";"-35.25";87;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.73 -35.25 2000 9"
"107";2000;9;"82789";0;30;0;0;30;0;0;30;0;"TRIUNFO";"-7.82972221";"-38.12222221";1105;"Fechada";1985-01-01;2018-03-28;"Diaria";"Convencional";"-7.82972221 -38.12222221 2000 9"
"108";2000;9;"82797";0;30;0;0;30;0;0;30;0;"SURUBIM";"-7.839628";"-35.801056";421,44;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.839628 -35.801056 2000 9"
"109";2000;9;"82799";30;30;100;30;30;100;30;30;100;"GOIANA";"-7.55";"-34.98";11;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.55 -34.98 2000 9"
"110";2000;9;"82886";0;30;0;0;30;0;0;30;0;"CABROBO";"-8.50388888";"-39.31527777";342,78;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.50388888 -39.31527777 2000 9"
"111";2000;9;"82890";0;30;0;0;30;0;0;30;0;"ARCO VERDE";"-8.4336111";"-37.05527777";683,91;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.4336111 -37.05527777 2000 9"
"112";2000;9;"82892";0;30;0;0;30;0;0;30;0;"PESQUEIRA";"-8.370701";"-36.707812";643,38;"Desativada";1985-01-01;2015-11-18;"Diaria";"Convencional";"-8.370701 -36.707812 2000 9"
"113";2000;9;"82893";0;30;0;0;30;0;0;30;0;"GARANHUNS";"-8.91083333";"-36.49333333";827,78;"Fechada";1985-01-01;2022-11-11;"Diaria";"Convencional";"-8.91083333 -36.49333333 2000 9"
"114";2000;9;"82897";30;30;100;30;30;100;30;30;100;"TAPACURA";"-8.17";"-35.18";102;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.17 -35.18 2000 9"
"115";2000;9;"82898";30;30;100;30;30;100;30;30;100;"OLINDA";"-8.02";"-34.85";55;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.02 -34.85 2000 9"
"116";2000;9;"82900";0;30;0;0;30;0;0;30;0;"RECIFE (CURADO)";"-8.05916666";"-34.95916666";11,3;"Fechada";1985-01-01;2020-08-31;"Diaria";"Convencional";"-8.05916666 -34.95916666 2000 9"
"117";2000;9;"82983";0;30;0;0;30;0;0;30;0;"PETROLINA";"-9.3886111";"-40.52333332";372,54;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-9.3886111 -40.52333332 2000 9"
"118";2000;10;"82753";0;31;0;0;31;0;0;31;0;"OURICURI";"-7.87944443";"-40.09194444";462,01;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.87944443 -40.09194444 2000 10"
"119";2000;10;"82781";31;31;100;31;31;100;31;31;100;"NAZARE DA MATA";"-7.73";"-35.25";87;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.73 -35.25 2000 10"
